Ps,Trial ,Score,total,FN
20,4,5,8,massed
21,1,7,8,massed
21,2,5,8,massed
21,3,7,8,massed
21,4,8,8,massed
22,1,4,8,massed
22,2,7,8,massed
22,3,6,8,massed
22,4,8,8,massed
23,1,3,8,massed
23,2,5,8,massed
23,3,5,8,massed
23,4,6,8,massed
24,1,3,8,massed
24,2,2,8,massed
24,3,6,8,massed
24,4,8,8,massed
25,1,0,8,massed
25,2,0,8,massed
25,3,0,8,massed
25,4,3,8,massed
26,1,3,8,massed
26,2,6,8,massed
26,3,5,8,massed
26,4,6,8,massed
27,1,5,8,massed
27,2,6,8,massed
27,3,7,8,massed
27,4,8,8,massed
28,1,1,8,massed
28,2,7,8,massed
28,3,8,8,massed
28,4,8,8,massed
29,1,7,8,massed
29,2,8,8,massed
29,3,8,8,massed
29,4,8,8,massed
30,1,2,8,massed
30,2,3,8,massed
30,3,6,8,massed
30,4,7,8,massed
31,1,3,8,massed
31,2,1,8,massed
31,3,6,8,massed
31,4,7,8,massed
32,1,3,8,massed
32,2,3,8,massed
32,3,5,8,massed
32,4,5,8,massed
33,1,3,8,massed
33,2,5,8,massed
33,3,3,8,massed
33,4,5,8,massed
34,1,4,8,massed
34,2,5,8,massed
34,3,7,8,massed
34,4,8,8,massed
35,1,3,8,massed
35,2,8,8,massed
35,3,7,8,massed
35,4,8,8,massed
36,1,5,8,massed
36,2,8,8,massed
36,3,8,8,massed
36,4,8,8,massed
37,1,4,8,massed
37,2,5,8,massed
37,3,6,8,massed
37,4,7,8,massed
38,1,0,8,massed
38,2,2,8,massed
38,3,2,8,massed
38,4,3,8,massed
39,1,1,8,massed
39,2,1,8,massed
39,3,3,8,massed
39,4,4,8,massed
40,1,1,8,massed
40,2,3,8,massed
40,3,3,8,massed
40,4,5,8,massed
41,1,2,8,massed
41,2,6,8,massed
41,3,3,8,massed
41,4,5,8,massed
42,1,6,8,massed
42,2,6,8,massed
42,3,8,8,massed
42,4,8,8,massed
43,1,4,8,massed
43,2,8,8,massed
43,3,6,8,massed
43,4,7,8,massed
44,1,2,8,massed
44,2,3,8,massed
44,3,3,8,massed
44,4,7,8,massed
45,1,2,8,massed
45,2,4,8,massed
45,3,7,8,massed
45,4,8,8,massed
46,1,3,8,massed
46,2,5,8,massed
46,3,8,8,massed
46,4,7,8,massed
47,1,3,8,massed
47,2,4,8,massed
47,3,6,8,massed
47,4,7,8,massed
48,1,3,8,massed
48,2,4,8,massed
48,3,6,8,massed
48,4,7,8,massed
49,1,5,8,massed
49,2,5,8,massed
49,3,6,8,massed
49,4,6,8,massed
50,1,2,8,massed
50,2,3,8,massed
50,3,3,8,massed
50,4,3,8,massed
51,1,1,8,massed
51,2,3,8,massed
51,3,6,8,massed
51,4,6,8,massed
52,1,2,8,massed
52,2,6,8,massed
52,3,8,8,massed
52,4,8,8,massed
53,1,3,8,massed
53,2,3,8,massed
53,3,3,8,massed
53,4,5,8,massed
54,1,4,8,massed
54,2,5,8,massed
54,3,5,8,massed
54,4,7,8,massed
55,1,3,8,massed
55,2,6,8,massed
55,3,7,8,massed
55,4,7,8,massed
56,1,3,8,massed
56,2,6,8,massed
56,3,6,8,massed
56,4,7,8,massed
57,1,3,8,massed
57,2,2,8,massed
57,3,2,8,massed
57,4,6,8,massed
