Ps,Trial ,Score,Age
25,1,35.72792206,21-40
25,2,79.34219364,21-40
25,3,62.27769854,21-40
25,4,117.7203972,21-40
25,5,132.1051736,21-40
26,1,34.62084429,21-40
26,2,79.45803843,21-40
26,3,57.27112583,21-40
26,4,87.40231034,21-40
26,5,124.3500085,21-40
27,1,31.61427158,21-40
27,2,77.27989284,21-40
27,3,65.85910657,21-40
27,4,108.7805139,21-40
27,5,185.1314746,21-40
28,1,44.37163089,21-40
28,2,88.01208901,21-40
28,3,65.20342673,21-40
28,4,388.2573215,21-40
28,5,122.5079369,21-40
29,1,31.25798041,21-40
29,2,74.85910657,21-40
29,3,57.02463845,21-40
29,4,84.51601104,21-40
29,5,116.1409967,21-40
30,1,32.02848514,21-40
30,2,76.49522279,21-40
30,3,60.99192941,21-40
30,4,96.21954258,21-40
30,5,115.9848089,21-40
31,1,32.79241716,21-40
31,2,76.04114907,21-40
31,3,60.91253957,21-40
31,4,179.5595544,21-40
31,5,127.9617845,21-40
32,1,31.79898987,21-40
32,2,81.93187699,21-40
32,3,56.21597616,21-40
32,4,85.07293513,21-40
32,5,116.3231252,21-40
33,1,31.4426987,21-40
33,2,77.73936838,21-40
33,3,58.55854349,21-40
33,4,78.52253353,21-40
33,5,101.3728731,21-40
34,1,31.61427158,21-40
34,2,80.09902475,21-40
34,3,75.0021511,21-40
34,4,81.34866556,21-40
34,5,101.4140011,21-40
35,1,33.19348531,21-40
35,2,75.32637242,21-40
35,3,58.45471993,21-40
35,4,93.29041268,21-40
35,5,110.0615601,21-40
36,1,33.62084429,21-40
36,2,82.05697028,21-40
36,3,56.73668907,21-40
36,4,99.45531592,21-40
36,5,109.7593987,21-40
37,1,32.20663073,21-40
37,2,77.71809864,21-40
37,3,58.41641137,21-40
37,4,80.21267874,21-40
37,5,162.3096026,21-40
38,1,31.4426987,21-40
38,2,78.78921316,21-40
38,3,61.9929026,21-40
38,4,87.8608594,21-40
38,5,124.3572531,21-40
39,1,32.61427158,21-40
39,2,78.15630445,21-40
39,3,58.09687716,21-40
39,4,94.69420333,21-40
39,5,100.3819335,21-40
40,1,31.02848514,21-40
